;Francis reversible pump-turbine characteristic FR300T-Torrao a0=1_added
;a0=1 mm added (somehow created according to a0=4 mm and a0=2 mm), a0 closed added
;T11 at a0 closed taken from created a0=1
;Model Francis
;a0max = 38 mm
;y    N11    Q11    T11
<list>
a0	N11	Q11	T11
0.789473684	114.7867253	0.200392626	-767.3831423
0.789473684	109.5394966	-0.014351911	-703.3223413
0.789473684	109.3260148	-0.025533951	-739.7674069
0.789473684	108.8437481	-0.051165686	-785.0986092
0.789473684	108.481391	-0.068540475	-807.7450857
0.789473684	108.2408945	-0.081769957	-826.7018409
0.789473684	107.817343	-0.100331269	-850.7750431
0.789473684	107.2107294	-0.127363097	-885.4472477
0.789473684	106.9340999	-0.140093324	-904.4227179
0.789473684	106.3267406	-0.168079162	-944.9657058
0.789473684	106.1559492	-0.202115993	-1014.322824
0.789473684	106.4065204	-0.223804198	-1072.763089
0.736842105	-103.9688872	-1.418012414	1520.521963
0.736842105	-102.699504	-1.386895634	1487.263596
0.736842105	-97.47756481	-1.259532233	1362.670933
0.736842105	-93.98865133	-1.159209058	1279.347939
0.736842105	-91.29951931	-1.077182989	1214.421042
0.736842105	-88.22930972	-0.985482362	1142.56728
0.736842105	-85.9635513	-0.910318665	1077.281133
0.736842105	-83.75113951	-0.838005751	1015.796456
0.736842105	-81.96790951	-0.773246464	960.7561306
0.736842105	-82.02640948	-0.771079428	961.3742122
0.736842105	-81.36737268	-0.727000555	933.7519098
0.736842105	-81.13165824	-0.710032599	923.2309204
0.736842105	-80.79060052	-0.666282607	894.6889542
0.736842105	-80.3358806	-0.64541979	878.7435723
0.736842105	-84.57626709	-0.670073302	953.2245163
0.736842105	-84.51417548	-0.644376931	941.4335922
0.736842105	-84.03550781	-0.593185613	912.3244447
0.736842105	-83.64999861	-0.536859669	894.1886223
0.736842105	-82.06310399	-0.480685984	847.1526226
0.736842105	-81.30371312	-0.427327142	807.8538582
0.736842105	-80.52053407	-0.379435033	773.6924317
0.736842105	-80.08850853	-0.328174062	741.2890398
0.736842105	-79.5321894	-0.27763768	718.39049
0.736842105	-78.83924894	-0.232667936	698.0538695
0.736842105	-78.62268807	-0.221002706	691.88149
0.736842105	-78.008355	-0.182250317	673.8527503
0.736842105	-77.25094245	-0.13538164	654.112622
0.736842105	-76.4946542	-0.09007829	643.2266825
0.736842105	-75.54504439	-0.041887694	643.6115094
0.736842105	-72.63844839	0.050656121	638.1079362
0.736842105	-70.04913327	0.123188866	663.9275058
0.736842105	-67.32711868	0.30281061	690.2873189
0.736842105	-63.49615435	0.39753928	752.6256843
0.736842105	-55.5197866	0.503141093	860.6261048
0.736842105	-45.32396458	0.60739751	994.3168704
0.736842105	-33.96064771	0.691338248	1135.448138
0.736842105	-25.42273593	0.738147396	1243.371995
0.736842105	-18.52520483	0.780554072	1353.036878
0.736842105	-10.8799348863	0.810404628	1531.21134043
0.736842105	9.955664273	0.899974255	1648.128602
0.736842105	20.29445316	0.931357931	1502.835025
0.736842105	29.9765919	0.955191662	1447.648743
0.736842105	40.25852789	0.979345894	1403.496626
0.736842105	49.72135866	0.998900695	1347.968682
0.736842105	59.82490206	1.023056916	1309.730983
0.736842105	62.40542033	1.034727795	1312.535335
0.736842105	65.049609	1.035849191	1285.983216
0.736842105	67.52980091	1.037722461	1256.334049
0.736842105	69.98744009	1.035769778	1221.296913
0.736842105	72.57080784	1.034943452	1184.720473
0.736842105	75.03498404	1.032972139	1150.205712
0.736842105	77.52446165	1.032753135	1117.664908
0.736842105	78.97353513	1.034359467	1101.905626
0.736842105	80.55653511	1.035514672	1083.875597
0.736842105	81.90052055	1.035500145	1068.543298
0.736842105	83.53994653	1.035616894	1048.938115
0.736842105	84.94613829	1.036288636	1032.810446
0.736842105	86.51668166	1.037616968	1016.404611
0.736842105	87.95401225	1.037798123	999.8437273
0.736842105	89.56969442	1.038834107	981.1604736
0.736842105	91.01494297	1.039002941	964.7993588
0.736842105	92.51987555	1.039204076	946.7775218
0.736842105	95.03808215	1.04081139	918.0867276
